0,1,2,3,4,5,6,7,8
이민형,122,이*경,23.08.05,29,[2024 수능 기출의 미래] 확률과 통계,감사합니다...,"좋은 강의 찍어주셔서...
감사합니다...
도움이 많이 되었어요..",스페셜
이민형,122,이*서,23.05.25,53,[2024 수능 기출의 미래] 확률과 통계,5강후기,"아니 선생님 너무 재밌어요. 그래서 수강후기 쓰려는데 2건밖에 없어서 놀람요..
진짜 꼭확통 만점 받을게요
46번 문제 설명해 주시는데 빵 얘기가 왜이리 웃긴지 ㅋㅋㅋ꼭 빵이랑 우유사가서뵙고싶습니닼ㅋㅋ

남은 강의도 열심히듣고 수강후기 꼬박꼬박 올리겠습니다-!!!
화이팅",스페셜
이민형,122,우*훈,23.02.25,96,[2024 수능 기출의 미래] 확률과 통계,9쪽 4번문제에관해 질문 드립니다.,"4번에서
8명의 학생중 A,B포함 5명 을 선택해서 풀면

7c4 X 3! X 2! = 420명 나오는데
어디가 잘못된거지요..",5점
이민형,122,박*,23.02.19,85,[2024 수능 기출의 미래] 확률과 통계,수능경향 질문,선생님 지금 고3인 학생인데요. 자이스토리 안 풀고 수능기출의 미래랑 수능특강만 풀어도 3월모의고사 대비가 되나요?,5점
